flight_id vertical speed track all 
AAL92_20582 False False False False 
AAL92_20583 False False False False 
AAL92_20584 False False False False 
AAL92_20586 False False False False 
AAL92_20595 False False False False 
AAL92_20597 False False False False 
AAL92_20600 False False False False 
AAL92_20607 False False False False 
AAL92_20608 False False False False 
AAL92_20612 False False False False 
AAL92_20613 False False False False 
AAL92_20619 False False False False 
AAL92_20621 False False False False 
AAL92_20624 False False False False 
ACA802_20935 False False False False 
ACA802_20936 False False False False 
ACA802_20942 False False False False 
ACA802_20943 False False False False 
ACA878_20874 False False False False 
ACA878_20877 False False False False 
ACA878_20880 False False False False 
ACA878_20881 False False False False 
ACA878_20882 False False False False 
ACA878_20883 False False False False 
ACA878_20884 False False False False 
ACA878_20885 False False False False 
ACA878_20886 False False False False 
ACA878_20888 False False False False 
ACA878_20889 False False False False 
ACA878_20890 False False False False 
ACA878_20893 False False False False 
ACA878_20894 False False False False 
ACA878_20895 False False False False 
ACA878_20896 False False False False 
ACA878_20897 False False False False 
ACA878_20899 False False False False 
ACA878_20900 False False False False 
ACA878_20901 False False False False 
ACA878_20905 False False False False 
ACA878_20907 False False False False 
ACA878_20908 False False False False 
ACA878_20911 False False False False 
ACA878_20913 False False False False 
ACA878_20914 False False False False 
ACA878_20915 False False False False 
ACA878_20918 False False False False 
ACA878_20919 False False False False 
ACA878_20920 False False False False 
ACA878_20923 False False False False 
ACA878_20926 False False False False 
ACA878_20928 False False False False 
ACA878_20939 False False False False 
AFL2392_3073 False False False False 
AFL2392_3144 False False False False 
AFL2392_3151 False False False False 
AFR141G_855 False False False False 
AFR141G_871 False False False False 
AFR141G_895 False True False False 
AFR141W_860 False True False False 
AFR141W_873 False False False False 
AFR141W_897 False False False False 
AFR141W_905 False False False False 
AFR141W_952 False False False False 
AFR141W_953 False False False False 
AFR141W_975 False False False False 
AFR28NJ_782 False False False False 
AFR28NJ_809 False False False False 
AFR28NJ_863 False False False False 
AFR28NJ_877 False True False False 
AFR28NJ_957 True False False False 
AFR28NJ_977 False False False False 
AFR63JZ_744 False False False False 
AFR63JZ_747 False False False False 
AFR63JZ_771 False False False False 
AFR63JZ_784 False False False False 
AFR63JZ_785 False False False False 
AFR63JZ_789 False False False False 
AFR63JZ_866 False False False False 
AFR63JZ_963 False False False False 
AHO791R_1716 False False False False 
ASL11C_18984 False False False False 
ASL63T_18998 False False False False 
ASL63T_19004 False False False False 
ASL63T_19005 False False False False 
ASL63T_19034 False False False False 
ASL63T_19037 False False False False 
ASL63T_19038 False False False False 
ASL63T_19045 False False False False 
ASL63T_19050 False False False False 
ASL63T_19057 False False False False 
AUA561_3270 False False False False 
AUA561_3418 False False False False 
AUA561_3485 False False False False 
AUA561_3648 False False False False 
AUA567_3332 False False False False 
AUA567_3494 False False False False 
AUA567_3612 False False False False 
AUA567_3660 False False False False 
AUA567_3889 False False False False 
AUA567_3909 False False False False 
AUA567_3976 False False False False 
AUA5CD_3334 False False False False 
AUA5CD_3409 False False False False 
AUA5CD_3410 False False False False 
AUA5CD_3475 False False False False 
AUA5CD_3499 False False False False 
AUA5CD_3500 False False False False 
AUA5CD_3532 False False False False 
AUA5CD_3926 False False False False 
AUA5ET_3615 False False False False 
AUA5ET_3899 False False False False 
AUH06_20308 False False False False 
BAW708Z_2501 False False False False 
BAW720T_2478 False False False False 
BAW720T_2483 False False False False 
BAW720T_2508 False False False False 
BAW720T_2527 False False False False 
BAW720T_2535 False False False False 
BAW720T_2560 False False False False 
BAW720T_2568 False False False False 
BAW720T_2715 False False False False 
BAW720T_2795 False False False False 
BKCK_20134 False False False False 
CAZ601_16234 False False False False 
CAZ801_16241 False False False False 
CAZ901_15898 False False False False 
CAZ901_15902 False False False False 
CCA781_20152 False False False False 
CFE94C_2765 True False False False 
CHH741_20140 False False False False 
CHH741_20143 False False False False 
CHH741_20145 False False False False 
CHH741_20147 False False False False 
CHH741_20150 False False False False 
CHH741_20155 False False False False 
CHH741_20157 False False False False 
CHH741_20158 False False False False 
CHH741_20160 False False False False 
CHH741_20161 False False False False 
CPA383_20144 False False False False 
CPA383_20166 False False False False 
CPA383_20168 False False False False 
CPA383_20169 False False False False 
CPA383_20170 False False False False 
CPA383_20171 False False False False 
CPA383_20172 False False False False 
CPA383_20173 False False True False 
CPA383_20174 False False False False 
CPA383_20175 True False False False 
CPA383_20176 False False False False 
CPA383_20178 False False False False 
CPA383_20179 False False False False 
CPA383_20180 True False False False 
CPA383_20181 False False False False 
CPA383_20185 False False False False 
CPA383_20187 False False False False 
CPA383_20188 False False False False 
CPA383_20190 False False False False 
CPA383_20191 False False False False 
CPA383_20194 True False True False 
CPA383_20196 False False False False 
CPA383_20197 False False False False 
CPA383_20202 False False False False 
CPA383_20203 False False False False 
CPA383_20204 False False False False 
CPA383_20205 False False False False 
CPA383_20206 False False False False 
CPA383_20207 False False False False 
CPA383_20209 False False False False 
CPA383_20210 False False False False 
CPA383_20211 False False False False 
CPA383_20214 False False False False 
CPA383_20215 False False False False 
CPA383_20216 False False False False 
CPA383_20217 False False False False 
CPA383_20218 False False False False 
CPA383_20219 False False False False 
CPA383_20220 False False False False 
CPA383_20221 False False True False 
CPA383_20222 False False False False 
CPA383_20224 False False False False 
CPA383_20225 False False False False 
CPA383_20226 True False True False 
CPA383_20227 False True True False 
CTN76H_19631 False False False False 
CTN76H_19633 False False False False 
CXI797_4517 False False False False 
CXI9131_18890 False False False False 
DAL408_20808 False False False False 
DAL408_20826 False False False False 
DAL408_20843 False False False False 
DLH4EJ_1727 False False False False 
DLH4EJ_1741 False False False False 
DLH4EJ_1742 False False False False 
DLH4EJ_1773 False False False False 
DLH4EJ_1799 False False False False 
DLH4EJ_1800 False False False False 
DLH4EJ_2055 False False False False 
DLH5AC_1294 True False True False 
DLH5AC_1807 False False False False 
DLH5AC_1879 False False False False 
DLH5AC_1960 False False False False 
DLH5AC_1983 False False False False 
DLH5AC_1987 False False False False 
DLH5AC_2081 False False False False 
DLH5TV_1281 False False False False 
DLH5TV_1283 False False False False 
DLH5TV_1295 False False False False 
DLH5TV_1314 False False False False 
DLH5TV_2052 False False False False 
DLH6HW_1204 False False False False 
DLH6HW_1212 False False False False 
DLH6HW_1222 False False False False 
DLH6HW_215 False False False False 
DLH8NF_207 False False False False 
DLH8NF_208 False True False False 
DLH8NF_236 False False False False 
DLH8NF_237 False False False False 
DLH9YA_1771 False False False False 
DLH9YA_1776 False False False False 
DLH9YA_1787 False False False False 
DLH9YA_1856 False False False False 
DLH9YA_2012 False False False False 
EDW105X_13818 False False False False 
EDW1347_5695 False False False False 
EDW13E_5791 False False False False 
EDW175_5701 False False False False 
EDW175_8012 False False False False 
EDW179_15157 False False False False 
EDW201_5613 False False False False 
EDW201_5807 False False False False 
EDW201_5810 False False False False 
EDW229_13848 False False False False 
EDW23F_13949 False False False False 
EDW23H_14023 False False False False 
EDW29G_13955 False False False False 
EDW29G_14028 False False False False 
EDW29G_5641 False False False False 
EDW337_7941 False False False False 
EDW337_7942 False False False False 
EDW369_5754 False False False False 
EDW369_8139 False False False False 
EDW36P_5652 False False False False 
EDW36W_8141 False False False False 
EDW385_11254 False False False False 
EDW399D_8151 False False False False 
EDW399Z_13873 False False False False 
EDW399Z_5851 False False False False 
EDW39G_5659 False False False False 
EDW439_13888 False False False False 
EDW439_14050 False False False False 
EDW439_14143 False False False False 
EDW439_14145 False False False False 
EDW505_14529 False False False False 
EDW505_14701 False False False False 
EDW5105_15309 False False False False 
EDW54V_13894 False False False False 
EDW59R_5674 False False False False 
EDW69A_6553 False False False False 
EDW827D_14702 False False False False 
EDW85_15193 False False False False 
EDW85_15194 True False True False 
EDW85_15243 False False False False 
EDW85_15244 False False False False 
EDW85_15246 False False False False 
EDW85_15325 False False False False 
EDW85_15327 False False False False 
EDW87_15247 False False False False 
EDW91_15201 False False False False 
EDW91_15203 False False False False 
EDW91_15205 False False False False 
EDW91_15206 False False False False 
EDW91_15251 False False False False 
EDW91_15252 False False False False 
EDW91_15289 False False False False 
EDW91_15290 False False False False 
EDW91_15291 False False False False 
EDW91_15292 False False False False 
EDW91_15331 False False False False 
EDW91_15333 False False False False 
EDW91_15334 False False False False 
EDW931_8090 False False False False 
EFD2F_2342 False False False False 
EFD6H_2267 False False False False 
EIN34G_19103 False False False False 
EJU37JQ_3502 False False False False 
EJU38AE_3666 False False False False 
EJU65MZ_3566 False False False False 
EJU87AR_3397 False False False False 
ENT56GK_4841 False False False False 
ETD39B_20359 False False False False 
ETD39B_20416 False False False False 
ETD39B_20417 False False False False 
ETD39B_20418 False False False False 
ETD39B_20419 False False False False 
ETD39B_20432 False False False False 
ETD39B_20433 False False False False 
ETD39B_20434 False False False False 
ETD39B_20436 False False False False 
ETD39B_20438 False False False False 
ETD39B_20454 False False False False 
ETD39B_20455 False False False False 
ETD39B_20456 False False False False 
ETD39B_20457 False False False False 
ETD39B_20458 False False False False 
ETD39B_20459 False False False False 
ETD39B_20460 False False False False 
ETD39B_20464 False False False False 
ETD39B_20465 False False False False 
ETD39B_20467 False False False False 
ETD39B_20468 False False False False 
ETD39B_20469 False False False False 
ETD39B_20471 False False False False 
ETD39B_20472 False False False False 
ETD39B_20473 False False False False 
ETD39B_20476 False False False False 
ETD39B_20477 False False False False 
ETD39B_20479 False False False False 
ETD39B_20480 False False False False 
ETD39B_20482 False False False False 
ETD39B_20483 False False False False 
ETD39B_20484 False False False False 
ETD39B_20485 False False False False 
ETD39B_20486 False False False False 
ETD39B_20487 False False False False 
ETD39B_20488 False False False False 
ETD39B_20489 False False False False 
ETD39B_20490 False False False False 
ETD39B_20492 False False False False 
ETD39B_20493 False False False False 
ETD39B_20495 False False False False 
ETD39B_20496 False False False False 
ETD39B_20497 False False False False 
ETD39B_20499 False False False False 
ETD39B_20500 False False False False 
ETD39B_20501 False False False False 
ETD39B_20502 False False False False 
ETD39B_20503 False False False False 
EWG18A_1184 False False True False 
EWG18A_1518 False False False False 
EWG18A_1624 False False False False 
EWG18A_1638 False False False False 
EWG18A_1639 False False False False 
EWG18A_1652 False False False False 
EWG2T_1089 True False False False 
EWG2T_1096 False False False False 
EWG2T_1097 False False False False 
EWG2T_1111 False False False False 
EWG2T_1117 False False False False 
EWG2T_1118 False False False False 
EWG2T_1349 False False False False 
EWG2T_1361 False False False False 
EWG2T_1374 False False False False 
EWG2T_1410 False False False False 
EWG2T_1448 False False False False 
EWG2T_1450 False False False False 
EWG2T_1453 False False False False 
EWG6RU_1565 False False False False 
EWG764_1139 False False False False 
EWG764_1578 False False False False 
EWG764_1614 False False False False 
EWG764_1617 False False False False 
EWG764_1621 False False False False 
EWG764_1696 False False False False 
EWG764_1911 False False False False 
EWG764_2129 False False False False 
EWG7ME_1455 False False False False 
EWG7NM_1592 False False False False 
EZY19QZ_2806 False False False False 
EZY36RG_2631 False False False False 
EZY36RG_2659 False False False False 
EZY37VV_2581 False False False False 
EZY65ED_2812 False False False False 
EZY65ED_2932 False True False False 
EZY65ED_2943 True False True False 
EZY86NM_2623 False False False False 
FEG3085_017 False False False False 
FEG3085_018 False False False False 
FEG3085_019 False False False False 
FEG3085_022 False False False False 
FEG3665_020 False False False False 
FEG3665_023 False False False False 
FEG3665_024 False False False False 
FEG3665_027 False False False False 
FHJFP_993 False True False False 
FHY407_18468 False False False False 
FHY407_18470 False False False False 
FHY407_18471 False False False False 
FHY836P_18477 False False False False 
GSW3369_16099 False False False False 
GSW3403_15922 False False False False 
GSW3403_15923 False False False False 
GSW3403_15924 False False False False 
GSW3403_16102 False False False False 
GSW3403_16103 False False False False 
GSW3403_16104 False False False False 
GSW3403_16105 False False False False 
GSW3413_15928 False False False False 
GSW3413_16012 False False False False 
GSW3445_16115 False False False False 
GSW3499_16022 False False False False 
GSW3509_16039 False False False False 
GSW3513_16045 False False False False 
GSW6029_16152 False False False False 
GSW6029_16159 False False False False 
GSW6033_16075 False False False False 
GSW6033_16081 False False False False 
GSW6043_15988 False False False False 
GSW6043_15989 False False False False 
GSW6161_16000 False False False False 
GSW6161_16001 False False False False 
GSW6161_16002 False False False False 
GSW6161_16092 False False False False 
HBJES_12966 True False False False 
HBJRG_16198 False False False False 
HBJRI_16201 False True True False 
HBJSK_16213 False False False False 
IBE3476_253 False False False False 
IBE3476_263 False False False False 
IBE3476_286 False False False False 
IBE3476_348 False False False False 
IBE3476_409 False False False False 
IBE3476_580 False False False False 
IBE3476_590 False False False False 
IBE3476_591 False False False False 
IBE3476_695 False False False False 
JSY056C_19700 False False False False 
KAY56_1003 False False False False 
KKK6205_18425 False False False False 
KLM47B_4711 False False False False 
KLM47B_4724 False False False False 
KLM47B_4809 False True False False 
KLM47B_4820 False False False False 
KLM71Q_4803 False False False False 
LXG55GA_2192 False False False False 
MGMKM_3218 False True True False 
MMD4705_4184 False True False False 
MPCPA_3186 True False True False 
